pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_41BB_PATHWAY,0.04521908203778503,0.13796362896845077,0.3217759180753611,0.5981605944139683,1.5306124554980882,15,
BIOCARTA_AGR_PATHWAY,0.569811320754717,0.8412921070828805,0.06944814420031753,0.295584465579361,0.9231273494931129,32,
BIOCARTA_AKT_PATHWAY,0.014072827782225213,0.05716000420187772,0.3807304007227924,0.5787387406323353,1.625772148787718,21,
BIOCARTA_ALK_PATHWAY,1.8429251820646511e-4,0.001783301132056677,0.5188480777437918,0.6336871858587745,2.0030562304304196,34,
BIOCARTA_AMI_PATHWAY,0.03491742801811184,0.11281015205851518,0.3217759180753611,0.5988447980084495,1.5573570796483602,16,
BIOCARTA_ARAP_PATHWAY,0.9555125725338491,1,0.046230252407761636,0.23187822249418436,0.6150243887675235,17,
BIOCARTA_ARENRF2_PATHWAY,0.053653992638952694,0.1540859173126615,0.3217759180753611,0.5448311484349536,1.4885187971559224,19,
BIOCARTA_ARF_PATHWAY,0.06769825918762089,0.18058968058968058,0.24133997681509095,0.5360742020206875,1.4218614619580339,17,
BIOCARTA_AT1R_PATHWAY,0.6169811320754717,0.8844740411888025,0.06553210292824141,0.29907724374099515,0.9003702038336857,27,
BIOCARTA_ATM_PATHWAY,0.08015267175572519,0.20468483058965267,0.21925034670375515,0.5064541571263097,1.3836700323499838,19,
BIOCARTA_ATRBRCA_PATHWAY,0.3857965451055662,0.6509080171268271,0.0911073131586733,0.37416872783340416,1.0511013933406836,21,
BIOCARTA_BAD_PATHWAY,0.4624277456647399,0.7349697020468571,0.08130273453844984,0.35009533990634967,0.9978146791419024,22,
BIOCARTA_BARRESTIN_SRC_PATHWAY,0.6314779270633397,0.8948581679993055,0.06523530560177027,0.3379740747543663,0.8789361113376324,16,
BIOCARTA_BCELLSURVIVAL_PATHWAY,0.05172413793103448,0.15020702466978383,0.27650059925447157,0.5779411932355025,1.4788737291836391,15,
BIOCARTA_BCR_PATHWAY,0.027551693322945513,0.09660220713942175,0.35248785758361917,0.49458304532616815,1.5449113375289132,33,
BIOCARTA_BIOPEPTIDES_PATHWAY,1,1,0.04199262189685937,0.13983143549322186,0.4258196582959579,28,
BIOCARTA_CALCINEURIN_PATHWAY,0.25862068965517243,0.4890011890606421,0.11573444770168878,0.43517258010199034,1.1694062139403338,18,
BIOCARTA_CARDIACEGF_PATHWAY,0.018375450527483662,0.07057031000243726,0.35248785758361917,0.6291897378009241,1.6688373308516158,17,
BIOCARTA_CARM_ER_PATHWAY,0.8888888888888888,1,0.04831175810550189,0.23422746781115877,0.695282658292779,25,
BIOCARTA_CASPASE_PATHWAY,0.004031794922105296,0.02216925675831714,0.40701791892395395,0.6379275029266902,1.8181716638069583,22,
BIOCARTA_CCR3_PATHWAY,0.6361746361746362,0.899576455450381,0.06879430956047748,-0.3199560006404098,-0.8745335631341552,16,
BIOCARTA_CCR5_PATHWAY,0.11218568665377177,0.2620763851533083,0.1847064712077387,0.5080104945138068,1.3474264228658968,17,
BIOCARTA_CDMAC_PATHWAY,0.22072936660268713,0.43355200962557655,0.12687572992985735,0.46504661040135475,1.2094012229606173,16,
BIOCARTA_CELLCYCLE_PATHWAY,0.10150375939849623,0.24199084668192217,0.19189224038483796,0.47033890243039167,1.3644742091607909,23,
BIOCARTA_CERAMIDE_PATHWAY,0.09596928982725528,0.23187683980293994,0.19991523130966152,0.48899711209610863,1.373673179049422,21,
BIOCARTA_CHEMICAL_PATHWAY,0.1053639846743295,0.24879007864488809,0.19002330527910832,0.5072479354769206,1.3630888407906918,18,
BIOCARTA_CHREBP_PATHWAY,0.7375478927203065,0.9827956621102276,0.05773085492998127,0.3027542172663623,0.8135684074693996,18,
BIOCARTA_CK1_PATHWAY,0.7520833333333333,0.9888633337368358,0.060771945185353275,-0.29650314512279746,-0.7927220088009781,15,
BIOCARTA_COMP_PATHWAY,1.3005050363811256e-6,2.852441046462602e-5,0.6435518361507222,0.8422079500587746,2.190247820340353,16,
BIOCARTA_CREB_PATHWAY,0.9896049896049897,1,0.04792589670581297,-0.17944500071520528,-0.5313173306478749,21,
BIOCARTA_CSK_PATHWAY,3.2267299451909796e-4,0.002757387407708655,0.49849310876659025,0.7257709679088126,1.9828597011488471,19,
BIOCARTA_CTCF_PATHWAY,1.55714310721018e-4,0.0015446233636346206,0.5188480777437918,0.6855172116659372,2.014103938241397,24,
BIOCARTA_CTLA4_PATHWAY,0.0024533550142053833,0.01445307066110005,0.4317076958033464,0.6761140511688815,1.8168699245342153,18,
BIOCARTA_CXCR4_PATHWAY,0.5591603053435115,0.8343026778141283,0.0709609456938284,0.3400650671421989,0.92908279225832,19,
BIOCARTA_DEATH_PATHWAY,0.010643548154931888,0.04668969790630122,0.3807304007227924,0.5368003380452075,1.6492482557429835,29,
BIOCARTA_ECM_PATHWAY,0.08812260536398467,0.2179874974793305,0.2089550275493539,0.518269720204227,1.3927068455505598,18,
BIOCARTA_EDG1_PATHWAY,0.5626204238921002,0.8356754828916523,0.07113273993278939,0.3229570709506391,0.9204672824648925,22,
BIOCARTA_EFP_PATHWAY,0.5758157389635317,0.8469843633655995,0.06977925170762346,0.35636147088497105,0.9267544135680746,16,
BIOCARTA_EGF_PATHWAY,0.1660377358490566,0.3539508537430213,0.1473312136993771,0.415708229191712,1.2514870685943045,27,
